dorms,banho,vagas,bairro,area,valor
4,4,2,6,200,1000000
3,2,2,14,140,420000
4,2,3,1,158,299000
4,7,2,6,295,2800000
2,2,1,4,75,330000
3,2,1,14,250,1150000
2,2,2,5,70,179000
2,2,1,11,88,260000
4,3,2,14,240,800000
4,5,1,6,184,1150000
1,1,0,11,90,323000
5,6,3,6,600,3800000
2,3,1,14,121,469000
4,3,2,6,166,939000
2,3,1,4,87,330000
4,5,2,6,269,1800000
3,2,1,6,128,780000
2,1,1,4,102,198000
3,4,2,14,150,1280000
4,5,1,6,300,2970000
2,1,1,12,87,346000
4,5,2,6,160,750000
2,1,0,5,74,135000
4,3,2,6,240,1530000
4,4,1,6,183,1050000
3,1,0,4,100,280000
3,4,1,4,146,540000
4,3,1,4,129,211000
3,3,3,4,158,385000
2,1,0,4,80,167000
4,2,3,1,158,299000
3,1,3,5,180,750000
4,5,2,6,350,3800000
4,5,2,6,170,890000
2,1,0,10,68,148000
4,5,1,6,378,2100000
3,1,2,6,144,216000
3,2,2,4,113,245000
4,5,2,6,175,1980000
3,3,3,6,136,486000
5,6,1,6,309,2704000
2,1,1,4,117,324000
3,4,2,6,200,850000
4,6,2,6,300,1800000
3,4,2,6,164,890000
3,3,2,6,240,950000
2,2,1,5,72,260000
3,3,1,4,97,302000
1,1,0,4,50,110000
3,3,1,1,113,291000
3,3,1,4,97,302000
3,3,1,1,113,291000
4,4,2,6,210,1450000
3,2,2,4,85,189000
3,1,2,4,150,370000
3,2,0,5,143,420000
3,2,2,14,190,580000
5,4,4,4,267,730000
3,2,2,4,140,490000
3,4,3,6,200,1500000
2,2,1,5,110,250000
4,3,3,4,230,676000
2,1,2,4,63,170000
2,1,2,1,70,220000
5,6,2,6,230,1150000
3,4,2,6,206,785000
2,2,0,4,106,292000
2,1,0,5,65,140000
3,2,1,5,98,378000
2,1,0,1,90,220000
4,5,2,5,254,1800000
4,5,2,6,333,2708000
3,3,3,11,120,281000
4,2,1,4,250,424000
3,2,1,4,116,410000
3,4,1,6,180,850000
3,3,2,6,180,1100000
3,2,0,4,85,318000
3,2,0,11,80,185000
3,2,2,4,130,320000
4,4,2,6,200,1050000
3,2,1,4,127,184000
2,1,1,4,72,179000
4,4,2,6,200,880000
5,1,3,4,150,424000
3,2,1,4,110,290000
3,2,1,4,90,324000
2,2,1,4,100,378000
4,5,2,6,260,1900000
2,1,0,11,160,370000
3,4,0,6,154,780000
3,3,2,4,180,368000
2,1,0,10,68,166000
2,1,1,4,78,199000
3,2,2,5,110,345000
2,2,1,4,100,281000
3,4,2,6,170,850000
2,1,1,10,70,157000
4,5,2,6,190,1300000
4,5,2,6,200,1000000
2,2,1,4,74,240000
3,2,2,11,120,350000
3,1,1,4,149,303000
3,3,2,14,172,690000
4,5,2,5,308,2200000
4,4,0,6,196,870000
4,3,1,4,115,648000
3,4,1,6,176,760000
3,2,0,6,213,620000
2,1,2,5,102,170000
2,1,1,4,70,162000
2,2,0,5,65,209000
3,4,2,6,162,790000
4,2,2,1,150,320000
4,5,2,6,180,790000
3,2,2,4,140,290000
3,2,1,5,89,200000
2,1,0,4,70,180000
3,3,2,5,136,950000
3,1,2,10,90,330000
5,6,2,6,288,1900000
3,2,0,9,150,680000
3,4,2,6,150,890000
3,1,0,4,85,540000
3,2,2,5,100,360000
2,1,0,5,52,220000
1,1,1,4,65,195000
2,1,1,10,68,156000
2,2,2,10,80,230000
3,2,1,5,168,555000
2,1,2,11,100,270000
5,3,1,1,145,420000
4,2,2,4,191,650000
2,1,0,4,50,165000
3,4,2,6,180,850000
3,3,2,5,123,302000
2,1,2,5,110,350000
2,1,1,4,68,192000
4,5,0,6,200,1280000
3,4,0,4,178,850000
4,2,1,4,83,378000
3,4,2,6,255,1550000
2,1,0,4,98,216000
3,2,1,4,117,240000
4,5,2,6,190,870000
3,2,0,4,100,152000
2,1,1,4,110,287000
1,1,1,10,60,180000
2,1,1,4,68,238000
4,2,2,4,110,324000
3,4,0,6,150,850000
3,2,1,10,120,420000
3,2,2,4,105,350000
3,2,1,5,120,420000
2,1,0,4,120,143000
2,1,0,5,65,238000
2,1,0,5,60,162000
2,1,1,10,65,220000
2,1,2,5,140,550000
2,1,1,4,56,170000
2,1,0,4,54,220000
4,6,2,6,357,3800000
5,3,0,4,147,540000
2,1,1,4,80,185000
3,2,2,6,200,480000
4,5,2,6,220,2450000
2,1,0,4,70,170000
2,1,0,4,64,239000
2,1,1,5,69,160000
2,2,0,5,65,250000
3,2,2,5,110,320000
3,1,0,5,143,420000
2,1,0,5,64,300000
2,2,2,5,85,248000
2,1,0,10,49,160000
3,2,2,4,172,240000
4,5,2,6,308,2450000
2,2,0,5,63,199000
6,6,3,6,520,5650000
2,2,0,5,65,250000
2,2,0,4,80,162000
1,1,1,4,59,75000
3,2,0,5,100,320000
3,2,2,5,110,265000
4,5,2,6,184,1150000
4,5,2,6,235,1400000
2,2,0,10,60,210000
2,1,0,5,70,185000
3,2,0,5,90,350000
3,2,1,4,143,140000
2,1,1,5,80,169000
4,6,2,1,240,450000
2,1,0,4,60,90000
3,1,0,5,143,420000
4,5,2,5,357,3800000
3,2,0,5,70,320000
4,5,2,6,252,1690000
2,2,1,5,159,424000
6,7,4,5,390,11800000
4,3,1,5,186,500000
3,2,2,5,167,174000
3,2,0,5,109,270000
2,1,0,4,49,155000
4,5,2,6,240,1400000
3,2,1,6,198,490000
4,4,1,6,129,1300000
4,2,1,5,113,100000
4,2,1,5,162,520000
3,5,1,6,165,1000000
4,3,2,6,250,1100000
2,1,0,5,98,220000
3,4,1,5,301,650000
3,2,1,5,114,325000
4,5,2,6,175,780000
4,3,1,6,297,1500000
4,5,1,6,189,2200000
4,5,1,6,206,1750000
2,2,1,5,110,315000
2,1,0,4,71,178000
5,6,2,6,289,2300000
4,2,1,5,93,600000
4,5,1,5,156,780000
3,2,1,5,94,800000
4,5,1,6,131,795000
4,5,1,6,189,1026000
3,2,1,5,102,240000
5,3,1,6,162,1250000
5,6,1,6,216,3200000
4,2,1,5,189,455000
3,4,1,5,111,780000
4,3,1,5,135,370000
3,1,2,5,130,680000
3,1,0,6,90,460000
3,2,1,5,112,380000
5,6,1,6,202,1790000
4,3,1,5,119,378000
2,1,1,5,85,140000
5,6,2,6,201,2300000
3,2,1,5,114,420000
4,5,2,6,188,1200000
1,1,1,5,96,240000
3,2,1,5,169,550000
4,3,2,14,180,830000
4,6,2,6,222,500000
5,5,3,5,423,2200000
2,1,0,5,64,300000
1,1,2,12,70,250000
3,1,2,6,170,1250000
3,1,0,5,136,450000
3,3,2,14,180,690000
2,1,1,5,71,179000
3,1,1,5,109,250000
4,2,1,5,109,350000
3,1,0,4,85,324000
3,2,1,4,78,195000
2,1,0,5,61,198000
3,2,1,5,116,530000
3,2,1,5,114,480000
3,3,2,14,215,530000
4,4,0,5,201,750000
3,1,2,11,117,318000
2,1,0,14,124,371000
4,2,0,11,119,303000
4,2,0,11,120,378000
3,1,0,11,129,320000
2,1,1,14,82,305000
4,2,0,4,79,245000
3,1,0,4,115,324000
3,2,1,4,105,303000
2,1,0,4,84,303000
2,1,2,4,44,173000
4,2,2,4,145,465000
3,2,2,5,136,756000
3,2,2,5,90,155000
2,1,1,4,69,185000
2,1,1,5,60,189000
3,1,1,5,109,424000
3,2,1,5,116,410000
4,2,1,5,110,950000
2,2,0,4,99,270000
4,5,1,5,199,1000000
3,2,1,5,109,424000
2,1,1,5,116,210000
4,5,1,5,116,424000
2,1,0,5,150,195000
4,3,1,5,103,500000
3,2,0,5,109,270000
4,3,1,5,186,500000
3,2,1,5,91,1000000
2,2,1,5,112,220000
3,2,1,5,100,430000
3,2,1,5,111,312000
3,4,1,5,146,680000
3,1,0,5,109,220000
2,1,1,5,110,230000
3,2,1,5,102,240000
3,2,1,5,106,420000
3,2,1,5,109,470000
2,1,1,5,129,468000
5,3,1,5,206,700000
3,2,1,5,106,281000
3,2,1,5,124,1200000
3,2,1,5,98,710000
2,1,0,5,79,160000
2,1,0,5,126,212000
5,4,1,5,115,1700000
2,1,0,5,200,90000
4,2,1,5,132,285000
5,5,1,5,162,530000
2,1,0,5,96,280000
2,1,1,5,102,223000
2,2,1,5,159,424000
2,1,0,5,71,178000
3,2,1,5,198,490000
2,1,0,5,100,190000
1,1,1,4,59,75000
4,5,1,5,156,780000
3,4,1,5,301,650000
4,5,1,5,206,1750000
4,2,1,5,93,600000
4,3,1,5,297,1500000
3,2,1,5,94,800000
3,2,1,5,198,500000
2,1,0,5,85,140000
4,2,1,5,189,455000
3,2,1,5,112,380000
4,3,1,5,119,378000
4,2,1,5,162,520000
3,2,1,5,114,420000
1,1,1,5,96,240000
3,2,1,5,114,325000
3,2,1,5,169,550000
3,2,2,5,167,173000
3,3,1,5,152,485000
3,2,1,5,126,330000
3,3,1,5,203,450000
